Worldwide Gross($M),Movie,Release Year
0.68,The Salton Sea,2002
0.68,Stake Land,2011
0.68,Rubber,2011
0.69,Feast,2006
0.69,Inside Deep Throat,2005
0.70,All the Real Girls,2003
0.71,Karakter,1998
0.72,Gerry,2003
0.72,Free Style,2009
0.72,Motherhood,2009
0.73,Out of the Blue,2007
0.74,Ain't Them Bodies Saints,2013
0.74,The Square,2010
0.74,Love and Other Catastrophes,1997
0.75,Trees Lounge,1996
0.76,Sherrybaby,2006
0.76,Praia do Futuro,2015
0.77,Beastmaster 2: Through the Portal of Time,1991
0.77,Survivor,2015
0.78,Without Limits,1998
0.79,The Ten,2007
0.79,Molière,2007
0.80,The Barbarians,1987
0.81,Charly,2002
0.81,Donkey Punch,2009
0.83,Compliance,2012
0.83,Hobo with a Shotgun,2011
0.84,Illuminata,1999
0.84,The Battle of Shaker Heights,2003
0.84,Primer,2004
0.84,Higher Ground,2011
0.84,Alone with Her,2007
0.85,Atlas Shrugged: Who Is John Galt?,2014
0.85,Brigham City,2001
0.85,I Origins,2014
0.86,Redacted,2007
0.86,Miss Julie,2015
0.87,Latter Days,2004
0.87,All Good Things,2010
0.88,Venom,2005
0.88,Pandora's Box,2002
0.88,The Blood of Heroes,1990
0.88,Princess Kaiulani,2010
0.89,La otra conquista,2000
0.89,The Blue Bird,1976
0.89,The Caveman's Valentine,2001
0.89,Party Monster,2003
0.90,à L'Intérieur,2008
0.90,Mata Hari,1931
0.90,The Brothers Solomon,2007
0.91,The Ballad of Gregorio Cortez,1983
0.91,Dungeons & Dragons: Wrath of the Dragon God,2005
0.92,Delgo,2008
0.93,Jimi: All is By My Side,2014
0.93,Aimée & Jaguar,2000
0.93,Wild Card,2015
0.96,Circumstance,2011
0.97,Savage Grace,2008
0.97,Down in the Valley,2006
0.97,MirrorMask,2005
0.98,Another Happy Day,2011
0.99,Duma,2005
1.00,Fifty Dead Men Walking,2009
1.00,Caravans,1978
1.00,March or Die,1977
1.00,Ruby in Paradise,1993
1.01,The Girlfriend Experience,2009
1.01,Owning Mahowny,2003
1.01,The Innkeepers,2012
1.02,Chain Letter,2010
1.02,Spun,2003
1.03,Twin Falls Idaho,1999
1.03,Urbania,2000
1.03,A Home at the End of the World,2004
1.05,Coriolanus,2011
1.05,Light Sleeper,1992
1.05,The Ten Commandments,2007
1.06,Wonderland,2003
1.07,The Oogieloves in the BIG Balloon Adventure,2012
1.07,September Dawn,2007
1.07,Undiscovered,2005
1.08,Dinner Rush,2001
1.08,Loin des hommes,2015
1.08,Blood and Wine,1997
1.09,Slam,1998
1.10,A Little Bit of Heaven,2012
1.11,Burn,2012
1.11,The R.M.,2003
1.13,The Ballad of Jack and Rose,2005
1.13,Sholem Aleichem: Laughing in the Darkness,2011
1.13,In the Shadow of the Moon,2007
1.14,L.I.E.,2001
1.15,Lolita,1998
1.15,The Son of No One,2011
1.15,Excessive Force,1993
1.15,Get Real,1999
1.16,Palo Alto,2014
1.16,Chuck&Buck,2000
1.16,The Face of Love,2014
1.16,Trois,2000
1.16,Tarnation,2004
1.17,Groove,2000
1.18,Casa de Areia,2006
1.18,Fiza,2000
1.19,Kill the Irishman,2011
1.19,Me and Orson Welles,2009
1.20,Phantom,2013
1.20,Anna,2014
1.20,Darling Companion,2012
1.22,Blackthorn,2011
1.23,Slacker,1991
1.23,You Got Served: Beat The World,2011
1.24,Slow Burn,2007
1.24,The Future,2011
1.25,Losin' It,1983
1.25,Outlander,2009
1.25,The Singles Ward,2002
1.26,Holy Girl,2005
1.27,Twixt,2013
1.27,Saving Face,2005
1.28,I Spit on Your Grave,2010
1.29,The Business of Strangers,2001
1.30,Conversations with Other Women,2006
1.30,"War, Inc.",2008
1.31,The Good German,2006
1.31,Saints and Soldiers,2004
1.32,Le hussard sur le toit,1996
1.32,Travellers and Magicians,2005
1.32,Damsels in Distress,2012
1.35,Mean Creek,2004
1.35,The City of Your Final Destination,2010
1.35,Kansas City,1996
1.36,The Offspring,1987
1.37,Julia,2009
1.37,American Desi,2001
1.37,Dogtooth,2010
1.38,"Gandhi, My Father",2007
1.38,The Claim,2000
1.38,Bully,2001
1.39,"For a Good Time, Call",2012
1.39,ГЕРОЙ,2015
1.40,Surveillance,2009
1.41,Metropolis,2002
1.41,The Funeral,1996
1.42,Where the Truth Lies,2005
1.42,Wendy and Lucy,2008
1.42,Thr3e,2007
1.43,Panic,2000
1.43,I Hope They Serve Beer in Hell,2009
1.43,No End In Sight,2007
1.45,Northfork,2003
1.47,Enter the Void,2010
1.49,Bubba Ho-Tep,2003
1.50,Lion of the Desert,1980
1.50,Salvador,1986
1.50,Time Changer,2002
1.50,The Cottage,2008
1.51,Married Life,2008
1.51,Trade,2007
1.54,Blonde Ambition,2007
1.54,The Lords of Salem,2013
1.55,The Statement,2003
1.55,Chocolate: Deep Dark Secrets,2005
1.55,Stan Helsing: A Parody,2009
1.56,Nicholas Nickleby,2002
1.58,Weekend,2011
1.59,A Hard Day's Night,1964
1.59,Midnight Meat Train,2008
1.60,Triangle,2009
1.60,Dogtown and Z-Boys,2002
1.61,The Blue Butterfly,2004
1.61,Oscar and Lucinda,1997
1.62,Walking and Talking,1996
1.62,Session 9,2001
1.62,Home,2009
1.63,Bacheha-Ye aseman,1999
1.64,Flammen og Citronen,2009
1.64,Gun Shy,2000
1.64,Spider,2003
1.64,It's a Wonderful Afterlife,2010
1.65,Marci X,2003
1.65,Festen,1998
1.66,"The Book of Mormon Movie, Volume 1: The Journey",2003
1.66,Factory Girl,2006
1.66,Subway,1985
1.67,Deadfall,2012
1.69,Steel,1997
1.69,Jesus' Son,2000
1.69,Ararat,2002
1.70,Saint Ralph,2005
1.70,The Bridge of San Luis Rey,2005
1.71,Lady in White,1988
1.71,"Men, Women and Children",2014
1.73,Freeheld,2015
1.74,Simon,2006
1.74,The Messenger,2009
1.76,Flipped,2010
1.77,Murderball,2005
1.78,The Dangerous Lives of Altar Boys,2002
1.79,Tumbleweeds,1999
1.79,Code 46,2004
1.81,Eye See You,2002
1.82,Tusk,2014
1.83,Tu Xia Chuan Qi,2011
1.84,The Believer,2002
1.84,Zulu,2013
1.85,Who Killed the Electric Car?,2006
1.86,Dom Hemingway,2014
1.87,Meek's Cutoff,2011
1.88,A Better Life,2011
1.89,The Mighty Macs,2011
1.90,Greater,2016
1.90,Les herbes folles,2010
1.92,Thumbsucker,2005
1.93,The Christmas Candle,2013
1.95,La chambre bleue,2014
1.95,The Clan of the Cave Bear,1986
1.95,Cecil B. Demented,2000
1.95,Crazy in Alabama,1999
1.96,All the Boys Love Mandy Lane,2013
1.97,Felicia's Journey,1999
1.97,Osama,2004
1.97,Escobar: Paradise Lost,2015
1.98,Red State,2011
1.99,Shortbus,2006
1.99,The Art of Getting By,2011
2.00,Playing for Keeps,1986
2.00,Can't Stop the Music,1980
2.00,Return to the Blue Lagoon,1991
2.00,Wilson,1944
2.00,The Wrong Man,1956
2.00,She Done Him Wrong,1933
2.01,Sur Le Seuil,2003
2.02,The Broken Hearts Club: A Romantic Comedy,2000
2.03,The Work and the Glory: American Zion,2005
2.04,El Mariachi,1993
2.05,Roadside Romeo,2008
2.05,Beyond the Mat,1999
2.05,Z Storm,2015
2.06,Ravenous,1999
2.07,Ayurveda: Art of Being,2002
2.08,Strangers with Candy,2006
2.08,Zero Effect,1998
2.09,Misconduct,2016
2.10,Another Earth,2011
2.10,The Pursuit of D.B. Cooper,1981
2.10,Faithful,1996
2.11,Mallrats,1995
2.11,Roar,1981
2.12,The Nutcracker,1993
2.12,Videodrome,1983
2.14,Now is Good,2013
2.15,Grave Encounters,2011
2.15,Shadow Conspiracy,1997
2.17,A Dog of Flanders,1999
2.19,Dod sno,2009
2.20,The Molly Maguires,1970
2.22,Smilla's Sense of Snow,1997
2.23,It's All Gone Pete Tong,2005
2.25,My All-American,2015
2.26,DysFunkTional Family,2003
2.26,Clay Pigeons,1998
2.27,Casino Jack,2010
2.28,Showdown in Little Tokyo,1991
2.28,The Diary of a Teenage Girl,2015
2.28,42nd Street,1933
2.28,FUR: An Imaginary Portrait of Diane Arbus,2006
2.28,The Yards,2000
2.30,Repo Man,1984
2.30,Hav Plenty,1998
2.32,Shanghai Surprise,1986
2.32,Two Girls and a Guy,1998
2.33,Last Orders,2002
2.34,Gabriela,2001
2.35,Teeth,2008
2.37,Jem and the Holograms,2015
2.37,Bamboozled,2000
2.37,The Neon Demon,2016
2.38,Buffalo '66,1998
2.40,Renaissance,2006
2.40,Nannerl la soeur de Mozart,2011
2.41,The Devil's Double,2011
2.41,What Just Happened,2008
2.42,Hamlet,2000
2.43,The Grace Card,2011
2.44,Four Lions,2010
2.46,Jefferson in Paris,1995
2.48,And When Did You Last See Your Father?,2008
2.48,The Incredibly True Adventure of Two Girls in Love,1995
2.48,After.Life,2010
2.48,Unforgettable,1996
2.50,Niagara,1953
2.50,It Happened One Night,1934
2.51,Grace Unplugged,2013
2.51,But I'm a Cheerleader,2000
2.52,Novocaine,2001
2.53,When The Cat's Away,1996
2.53,Bucky Larson: Born to Be a Star,2011
2.54,Love and Death on Long Island,1998
2.55,Trust the Man,2006
2.59,The Gatekeepers,2013
2.60,N-Secure,2010
2.60,Limbo,1999
2.61,Infamous,2006
2.62,Shalako,1968
2.63,Mississippi Mermaid,1999
2.65,God's Army,2000
2.67,Redbelt,2008
2.68,No Man's Land,2001
2.69,Bobby Jones: Stroke of Genius,2004
2.70,Bronson,2009
2.70,Auto Focus,2002
2.71,Straight out of Brooklyn,1991
2.72,Cheri,2009
2.72,Goodbye Bafana,2007
2.72,Ajami,2010
2.72,Wuthering Heights,2012
2.73,Blood Simple,1985
2.79,Kill the Messenger,2014
2.79,Captive,2015
2.79,Love Stinks,1999
2.79,The Perez Family,1995
2.80,Quinceanera,2006
2.81,The White Countess,2005
2.82,Restless,2011
2.82,Everything Must Go,2011
2.83,Adam,2009
2.83,Reservoir Dogs,1992
2.84,eXistenZ,1999
2.84,Othello,1995
2.85,Filly Brown,2013
2.86,Home Run,2013
2.86,Jindabyne,2007
2.88,In the Company of Men,1997
2.89,"Happy, Texas",1999
2.90,Find Me Guilty,2006
2.90,Cradle Will Rock,1999
2.90,Raising Victor Vargas,2003
2.92,Waiting for Guffman,1997
2.92,Blood Ties,2014
2.94,Metropolitan,1990
2.95,Isn't She Great,2000
2.96,The Pirate,1948
2.96,Basquiat,1996
2.96,Jane Got a Gun,2016
3.00,Malone,1987
3.00,Fengkuang de Shitou,2006
3.00,Over the Hill to the Poorhouse,1920
3.03,The East,2013
3.05,Que Horas Ela Volta?,2015
3.05,Songcatcher,2001
3.06,The Widow of St. Pierre,2001
3.06,Tristram Shandy: A Cock and Bull Story,2006
3.08,Jawbreaker,1999
3.09,Your Sister's Sister,2012
3.10,Dear Frankie,2005
3.10,The Last House on the Left,1972
3.13,Boynton Beach Club,2006
3.13,Imagine Me & You,2006
3.13,Maurice,1987
3.13,Beautiful,2000
3.17,Rosewater,2014
3.18,Wordplay,2006
3.20,Top Hat,1935
3.23,Romance and Cigarettes,2007
3.24,Letters to God,2010
3.25,Supercross,2005
3.26,Peaceful Warrior,2006
3.26,Resurrecting the Champ,2007
3.27,Tadpole,2002
3.27,Pathology,2008
3.27,Only the Strong,1993
3.28,Romeo Is Bleeding,1994
3.28,Sunshine State,2002
3.29,Riding Giants,2004
3.29,Pootie Tang,2001
3.32,Obvious Child,2014
3.32,Heist,2015
3.33,The Wackness,2008
3.34,Atlas Shrugged: Part II,2012
3.35,The Work and the Glory,2004
3.36,Unknown,2006
3.36,Crash,1996
3.40,The Company,2003
3.43,Child 44,2015
3.44,Bathory,2008
3.44,The Ultimate Gift,2007
3.44,Full Frontal,2002
3.44,Chiamatemi Francesco - Il papa della gente,2015
3.44,Beneath Hill 60,2014
3.44,The Homesman,2014
3.45,By the Sea,2015
3.46,Shattered Glass,2003
3.47,"Next Stop, Wonderland",1998
3.47,Talk Radio,1988
3.48,Camping Sauvage,2004
3.48,Heaven's Gate,1980
3.49,Veronica Mars,2014
3.50,State Fair,1962
3.50,Bathing Beauty,1944
3.50,Per un pugno di dollari,1967
3.51,Fireflies in the Garden,2011
3.54,The Joneses,2010
3.55,Junebug,2005
3.57,Pieces of April,2003
3.58,The Sidewalks of New York,2001
3.58,The Secret of Kells,2010
3.59,Cats Don't Dance,1997
3.61,BloodRayne,2006
3.62,The Killer Inside Me,2010
3.62,Lesbian Vampire Killers,2009
3.62,The Iceman,2013
3.66,Days of Heaven,1978
3.70,The Day the Earth Stood Still,2003
3.71,Thirteen Conversations About One Thing,2002
3.71,Jekyll and Hyde... Together Again,1982
3.72,Machine Gun Preacher,2011
3.73,Like Crazy,2011
3.75,Hedwig and the Angry Inch,2001
3.79,Celeste and Jesse Forever,2012
3.81,Green Room,2016
3.81,Better Luck Tomorrow,2003
3.82,The Real Cancun,2003
3.82,To Save a Life,2010
3.84,Brick Lane,2008
3.86,You Kill Me,2007
3.89,Clerks,1994
3.90,L'auberge espagnole,2003
3.90,Warlock: The Armageddon,1993
3.92,Gracie,2007
3.93,The Perfect Game,2010
4.00,Willy Wonka & the Chocolate Factory,1971
4.00,Alexander's Ragtime Band,1938
4.00,You Can't Take It With You,1938
4.00,American Ninja 2: The Confrontation,1987
4.00,8 Heads in a Duffel Bag,1997
4.02,There Be Dragons,2011
4.02,Idle Hands,1999
4.05,King's Ransom,2005
4.06,Tank Girl,1995
4.07,Stone,2010
4.10,Restoration,1995
4.11,Kama Sutra,1997
4.12,Choke,2008
4.13,The To Do List,2013
4.14,Whipped,2000
4.15,Witless Protection,2008
4.20,The Damned United,2009
4.20,Richard III,1995
4.22,Detroit Rock City,1999
4.22,Left Behind,2001
4.23,Holy Motors,2012
4.23,The Gospel of John,2003
4.24,Men with Brooms,2002
4.24,Brick,2006
4.27,Glitter,2001
4.29,Soul Survivors,2001
4.29,Eden Lake,2008
4.30,Per qualche dollaro in più,1967
4.30,Four Rooms,1995
4.31,Velvet Goldmine,1998
4.32,Lucky Break,2002
4.33,PCU,1994
4.36,Meet the Deedles,1998
4.36,Bogus,1996
4.36,The Broadway Melody,1929
4.36,Solitary Man,2010
4.37,Dark Angel,1990
4.38,"Synecdoche, New York",2008
4.40,Simply Irresistible,1999
4.41,McHale's Navy,1997
4.41,Inchon,1982
4.41,Keeping Up with the Steins,2006
4.42,The Conversation,1974
4.42,Safety Not Guaranteed,2012
4.45,Passchendaele,2008
4.45,Geograf globus propil,2013
4.49,Flawless,1999
4.49,Only God Forgives,2013
4.50,Bound by Honor,1993
4.50,Flash of Genius,2008
4.53,"Don Gato, el inicio de la pandilla",2015
4.56,Lilja 4-ever,2003
4.56,Mumford,1999
4.57,Flying By,2009
4.57,Please Give,2010
4.58,Submarine,2011
4.60,River's Edge,1987
4.61,Everybody Wants Some,2016
4.61,Lovely and Amazing,2002
4.63,Let's Go to Prison,2006
4.65,Radio Flyer,1992
4.66,Killer Joe,2012
4.67,Demonic,2014
4.67,Rogue,2008
4.68,Pi,1998
4.69,On the Line,2001
4.70,C.H.U.D.,1984
4.71,"Jeff, Who Lives at Home",2012
4.71,Miss March,2009
4.71,Held Up,2000
4.72,Hands of Stone,2016
4.72,The Other Side of Heaven,2001
4.73,My Summer of Love,2005
4.73,Tao Jie,2013
4.73,"Food, Inc.",2009
4.73,Duets,2000
4.74,A Walk on the Moon,1999
4.75,The Fall of the Roman Empire,1964
4.78,Igby Goes Down,2002
4.81,Slackers,2002
4.82,Bottle Shock,2008
4.82,90 Minutes in Heaven,2015
4.85,"Guten Tag, Ramon",2015
4.86,"Paris, je t'aime",2007
4.86,Rize,2005
4.87,Galaxina,1980
4.88,Girl 6,1996
4.91,Half Nelson,2006
4.92,From Justin to Kelly,2003
4.93,Hamlet 2,2008
4.93,Robot & Frank,2012
4.96,Jakob the Liar,1999
4.97,Gloria,1999
4.97,Take Shelter,2011
4.98,Invaders from Mars,1986
5.00,Darling Lili,1970
5.00,The Ballad of Cable Hogue,1970
5.00,Pocketful of Miracles,1961
5.00,"The Beast from 20,000 Fathoms",1953
5.00,Bubble Boy,2001
5.01,Mother and Child,2010
5.02,Nikita,1991
5.03,Monty Python and the Holy Grail,1975
5.03,Welcome to the Dollhouse,1996
5.05,The Swindle,1998
5.05,The Beaver,2011
5.05,Exotica,1994
5.14,The Hotel New Hampshire,1984
5.15,The House of Mirth,2000
5.20,Formula 51,2002
5.22,The In Crowd,2000
5.23,Hollywood Shuffle,1987
5.24,Black and White,2000
5.26,The Lost City,2006
5.27,Love Letters,1984
5.27,San Francisco,1936
5.28,The Runaways,2010
5.30,Charlie Bartlett,2008
5.30,Ironclad,2011
5.31,The Proposition,2006
5.32,Once Upon a Time in America,1984
5.32,C'era una volta il West,1969
5.35,Equilibrium,2002
5.35,Rocket Singh: Salesman of the Year,2009
5.36,A Guy Named Joe,1943
5.38,Rejsen til Saturn,2008
5.39,October Baby,2012
5.39,Diary of the Dead,2008
5.40,She Wore a Yellow Ribbon,1949
5.41,Monkeybone,2001
5.42,Human Traffic,2000
5.43,Tango,1999
5.43,Split Second,1992
5.44,Heavenly Creatures,1994
5.44,Martha Marcy May Marlene,2011
5.47,Virgin Territory,2008
5.48,Made,2001
5.48,Tucker & Dale vs. Evil,2011
5.50,Slums of Beverly Hills,1998
5.52,Say It Isn't So,2001
5.52,Aqua Teen Hunger Force Colon Movie Film for Theaters,2007
5.53,Anomalisa,2015
5.53,The Brothers Bloom,2009
5.55,For Your Consideration,2006
5.62,Man on Wire,2008
5.62,The Frozen Ground,2013
5.63,L'illusionniste,2010
5.64,Monsters,2010
5.65,Underclassman,2005
5.66,The Pallbearer,1996
5.68,Megaforce,1982
5.68,Before Sunrise,1995
5.69,Kundun,1997
5.69,Get on the Bus,1996
5.69,People I Know,2003
5.69,Who's Your Caddy?,2007
5.71,Trolljegeren,2011
5.71,Won't Back Down,2012
5.72,El crimen de padre Amaro,2002
5.73,Gallipoli,1981
5.75,Happiness,1998
5.78,Sheena,1984
5.78,Catch a Fire,2006
5.80,The Skeleton Twins,2014
5.80,Jab Tak Hai Jaan,2012
5.83,Ed Wood,1994
5.84,Night of the Living Dead,1990
5.87,Light It Up,1999
5.89,20 Feet From Stardom,2013
5.92,The Touch,2004
5.92,Fish Tank,2010
5.92,Evil Dead II,1987
5.95,Severance,2007
5.95,The Return,2004
5.97,Samsara,2012
6.00,Dragonslayer,1981
6.00,Heartbeeps,1981
6.00,Topaz,1969
6.00,Rebecca,1940
6.03,Foolish,1999
6.03,The Limey,1999
6.03,Frozen River,2008
6.03,Ghost Dog: Way of the Samurai,2000
6.05,Megiddo: Omega Code 2,2001
6.07,A Most Violent Year,2014
6.09,Dylan Dog: Dead of Night,2011
6.10,"Il buono, il brutto, il cattivo",1967
6.12,The Border,1982
6.12,The Mighty,1998
6.15,Mambo Italiano,2003
6.15,The Fifth Estate,2013
6.16,UHF,1989
6.17,Nowhere in Africa,2003
6.18,College,2008
6.20,The Straight Story,1999
6.20,Celebrity,1998
6.20,Topsy Turvy,1999
6.21,Rabbit Hole,2010
6.23,Harsh Times,2006
6.24,Oldboy,2005
6.24,Deuces Wild,2002
6.28,Dick,1999
6.29,What Planet Are You From?,2000
6.30,A Sound of Thunder,2005
6.34,Pirates,1986
6.38,Transsiberian,2008
6.40,My Own Private Idaho,1991
6.43,Against the Ropes,2004
6.44,High Tension,2005
6.45,Warriors of Virtue,1997
6.45,Gods and Monsters,1998
6.46,Attack the Block,2011
6.46,The Good Thief,2003
6.49,Teacher's Pet: The Movie,2004
6.50,Switchback,1997
6.52,Lucky You,2007
6.55,Blood and Chocolate,2007
6.55,Lost and Found,1999
6.55,Trash,2015
6.56,Post Grad,2009
6.59,Copying Beethoven,2006
6.59,Grandma's Boy,2006
6.59,Wish I Was Here,2014
6.60,Donovan's Reef,1963
6.62,Swingers,1996
6.63,The Big Bounce,2004
6.63,It's Kind of a Funny Story,2010
6.71,Roger & Me,1989
6.72,American History X,1998
6.73,Nine 1/2 Weeks,1986
6.76,The Forsaken,2001
6.80,The Train,1965
6.80,Hang 'em High,1968
6.81,Bran Nue Dae,2010
6.83,Moonlight Mile,2002
6.83,Namastey London,2007
6.83,Nie yin niang,2015
6.84,Midnight Special,2016
6.85,200 Cigarettes,1999
6.88,Woman Thou Art Loosed,2004
6.88,Willard,2003
6.91,Red Sonja,1985
6.92,Trapped,2002
6.92,The Spectacular Now,2013
6.92,The Awakening,2012
6.95,Strange Wilderness,2008
6.97,Class of 1984,1982
6.98,Screwed,2000
7.00,Raise the Titanic,1980
7.00,Wasabi,2002
7.00,The Prisoner of Zenda,1979
7.00,Phantasm II,1988
7.00,Spellbound,1945
7.00,Strangers on a Train,1951
7.00,The Trouble With Harry,1955
7.00,Eraserhead,1977
7.01,Crossover,2006
7.01,Bound,1996
7.02,Veer-Zaara,2004
7.02,Harley Davidson and the Marlboro Man,1991
7.02,An American Carol,2008
7.03,La Cara Oculta,2011
7.04,Rescue Dawn,2007
7.09,The Adventures of Pluto Nash,2002
7.10,Force 10 from Navarone,1978
7.13,Gigli,2003
7.13,Hamlet,1996
7.14,She's Gotta Have It,1986
7.16,The Young Messiah,2016
7.16,The Hoax,2007
7.17,Obsluhoval jsem anglického krále,2008
7.19,Troop Beverly Hills,1989
7.20,Singin' in the Rain,1952
7.20,Life Before Her Eyes,2008
7.23,Under the Skin,2014
7.29,Black Nativity,2013
7.30,Phat Girlz,2006
7.30,Donnie Darko,2001
7.32,Morgan,2016
7.37,Witchboard,1986
7.39,Requiem for a Dream,2000
7.41,A Scanner Darkly,2006
7.45,Compadres,2016
7.50,Danny Collins,2015
7.56,The Jerky Boys,1995
7.57,Club Dread,2004
7.58,Take Me Home Tonight,2011
7.58,Ong-Bak 2,2009
7.59,The Immigrant,2014
7.60,The Hustler,1961
7.68,The Big Year,2011
7.71,Kevin Hart: Laugh at My Pain,2011
7.73,The Hunting Party,2007
7.76,DOA: Dead or Alive,2007
7.76,Smoke Signals,1998
7.78,Real Women Have Curves,2002
7.79,Nowhere Boy,2010
7.80,Inside Job,2010
7.80,Gentleman's Agreement,1947
7.80,Sands of Iwo Jima,1949
7.81,Tupac Resurrection,2003
7.82,Venus,2006
7.82,Outside Providence,1999
7.84,The Sweeney,2013
7.84,Bad Words,2014
7.86,Cedar Rapids,2011
7.88,Serial Mom,1994
7.89,Centurion,2010
7.89,Teen Wolf Too,1987
7.90,The Alamo,1960
7.95,Dazed and Confused,1993
7.95,The Sweet Hereafter,1997
7.97,Impostor,2002
8.00,Sweet Charity,1969
8.00,Robin and Marian,1976
8.00,Annie Get Your Gun,1950
8.00,Terror Train,1980
8.00,The Man Who Shot Liberty Valance,1962
8.00,A Streetcar Named Desire,1951
8.00,High Noon,1952
8.00,"20,000 Leagues Under the Sea",1916
8.00,Cat People,1942
8.03,The Texas Chainsaw Massacre 2,1986
8.05,Connie & Carla,2004
8.06,Woo,1998
8.08,Animal Kingdom,2010
8.12,Things We Lost in the Fire,2007
8.12,Firestorm,1998
8.13,Birthday Girl,2002
8.13,Irreversible,2003
8.14,Code Name: The Cleaner,2007
8.17,A Simple Wish,1997
8.17,City Island,2010
8.18,Alone in the Dark,2005
8.20,The Misfits,1961
8.20,Sardaar Ji,2015
8.20,Funny Games,2008
8.21,La véritable histoire du Chat Botté,2011
8.22,The Children of Huang Shi,2008
8.22,Hoot,2006
8.24,White Noise 2: The Light,2008
8.27,Hard Candy,2006
8.28,Shadow of the Vampire,2000
8.28,Proof,2005
8.29,Beyond the Sea,2004
8.30,Chasing Mavericks,2012
8.30,Bug,2007
8.32,The Love Letter,1999
8.36,Bon Voyage,2004
8.37,The Last Temptation of Christ,1988
8.37,Death to Smoochy,2002
8.38,The Importance of Being Earnest,2002
8.38,Bones,2001
8.40,Meteor,1979
8.41,Pushing Tin,1999
8.43,Play it to the Bone,1999
8.43,John Carpenter's Ghosts of Mars,2001
8.45,Casa de mi Padre,2012
8.49,Big Trouble,2002
8.51,The Warrior's Way,2010
8.54,Albert Nobbs,2011
8.59,De battre mon coeur s'est arrêté,2005
8.59,Our Brand is Crisis,2015
8.59,Xinhai geming,2011
8.61,How She Move,2008
8.63,MacGruber,2010
8.66,The Machinist,2004
8.69,American Splendor,2003
8.69,Inherent Vice,2014
8.71,Running With Scissors,2006
8.71,Suspect Zero,2004
8.74,Whatever it Takes,2000
8.74,This is England,2007
8.76,Ghost World,2001
8.77,The Rocker,2008
8.80,Battle for the Planet of the Apes,1973
8.80,Body Double,1984
8.82,Warlock,1991
8.85,Barney's Version,2010
8.86,The Inkwell,1994
8.89,The Collection,2012
8.89,"Mystery, Alaska",1999
8.90,Control,2007
8.92,Brainstorm,1983
8.94,Cadillac Records,2008
8.97,Cube,1998
9.00,Ben-Hur,1925
9.00,Mr. Smith Goes To Washington,1939
9.00,Beyond the Valley of the Dolls,1970
9.00,Love Me Tender,1956
9.01,Red River,1948
9.02,Trippin',1999
9.08,Metallica Through the Never,2013
9.10,Meet the Blacks,2016
9.10,Fantasia 2000 (Theatrical Release),2000
9.11,Mientras duermes,2012
9.13,The Valley of Decision,1945
9.16,Dr. Strangelove,1964
9.17,What's Eating Gilbert Grape,1993
9.17,Boom Town,1940
9.21,Return of the Living Dead Part II,1988
9.21,Everybody's Fine,2009
9.25,Lolita,1962
9.26,Le nom des gens,2011
9.29,Stone Cold,1991
9.30,Serbuan maut,2012
9.30,Promised Land,2012
9.31,Peeples,2013
9.31,On the Road,2012
9.33,Salvando al Soldado Perez,2011
9.35,Kissing Jessica Stein,2002
9.35,The Martian Child,2007
9.36,Super Babies: Baby Geniuses 2,2004
9.38,Ernest et Celestine,2013
9.39,Mad Hot Ballroom,2005
9.41,Sleepover,2004
9.41,Secretary,2002
9.44,Veronica Guerin,2003
9.44,Ta Ra Rum Pum,2007
9.45,Belka i Strelka. Zvezdnye sobaki,2010
9.45,The Libertine,2005
9.47,The Station Agent,2003
9.51,Thirteen,2003
9.52,All the King's Men,2006
9.53,Shade,2004
9.54,Popstar: Never Stop Never Stopping,2016
9.58,The Dark Half,1993
9.60,On the Waterfront,1954
9.62,Me and You and Everyone We Know,2005
9.64,It's a Wonderful Life,1946
9.66,Winter in Wartime,2011
9.67,The Perfect Match,2016
9.68,Miracle at St. Anna,2008
9.70,Conquest of the Planet of the Apes,1972
9.71,Somewhere in Time,1980
9.73,Running Scared,2006
9.79,Paa,2009
9.81,Jade,1995
9.81,The Express,2008
9.82,Dudley Do-Right,1999
9.82,3 Strikes,2000
9.93,Brazil,1985
9.97,Airlift (2016),2016
9.98,The Deep End,2001
10.00,55 Days at Peking,1963
10.00,Judgment at Nuremberg,1961
10.00,Hud,1963
10.00,Maniac,1980
10.00,King Kong,1933
10.01,Lucky Numbers,2000
10.02,Le Violon rouge,1999
10.02,Dirty Work,1998
10.03,For Greater Glory,2012
10.04,Godzilla 2000,2000
10.04,Mrs. Winterbourne,1996
10.06,Cyrus,2010
10.07,Taking Woodstock,2009
10.07,Duplex,2003
10.10,The Wash,2001
10.11,Bernie,2012
10.11,Away We Go,2009
10.14,ABCD (Any Body Can Dance),2013
10.14,Lovesick,1983
10.16,Bats,1999
10.16,Punisher: War Zone,2008
10.16,Sexy Beast,2001
10.17,We Are Your Friends,2015
10.17,Next Day Air,2009
10.18,Henry V,1989
10.19,Woman on Top,2000
10.21,Saved!,2004
10.21,Snabba Cash,2012
10.23,White Squall,1996
10.24,Facing the Giants,2006
10.29,All is Lost,2013
10.32,I Got the Hook-Up!,1998
10.32,Knock Off,1998
10.34,The Newton Boys,1998
10.36,The Scarlet Letter,1995
10.36,Town & Country,2001
10.39,Thunder and the House of Magic,2014
10.39,The Man,2005
10.40,Head Over Heels,2001
10.40,Moby Dick,1956
10.40,Elmer Gantry,1960
10.41,Sex Drive,2008
